229,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
241,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,244,197
218,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,294
218,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,294
218,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,294
218,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,294
218,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,294
218,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,294
218,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,294
218,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,175
218,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505
218,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505
219,220,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,220,220
243,244,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,244,244
