-1,-1,-1,-1,-1,-1,10,11,12,13,14,15,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,6,-1,-1,58,59,60,61,62,-1,29,-1,-1,-1,-1,167,168
90,91,115,22,6,-1,74,75,76,77,78,-1,45,-1,-1,-1,-1,183,184
106,107,131,38,22,-1,-1,53,-1,-1,56,-1,-1,-1,-1,-1,-1,199,200
-1,-1,-1,-1,38,-1,-1,69,54,55,72,-1,-1,-1,-1,-1,-1,-1,-1
55,56,57,18,-1,18,84,85,86,87,88,89,-1,18,-1,18,-1,18,-1
71,72,73,34,-1,34,-1,-1,-1,-1,-1,-1,-1,34,-1,34,-1,34,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,18,-1,18,-1,18,-1,-1,-1,-1,-1,-1,-1,18,-1,18,-1,18,-1
-1,34,-1,34,-1,34,-1,-1,-1,-1,-1,-1,-1,34,-1,34,-1,34,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,18,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,34,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
