170,219,219,219,219,219,219,219,219,219,219,219,220,173
194,243,243,243,243,243,243,243,243,243,243,243,244,197
218,505,505,505,505,505,505,505,505,505,505,505,505,221
218,505,505,505,505,505,505,505,505,505,505,505,505,294
218,505,505,505,505,505,505,505,505,505,505,505,505,294
218,505,505,505,505,505,505,505,505,505,505,505,505,294
218,505,505,505,505,505,505,505,505,505,505,505,505,245
218,505,505,505,505,505,505,505,505,505,505,505,505,505
218,505,505,505,505,505,505,505,505,505,505,505,505,294
219,219,219,219,219,219,219,219,219,219,219,219,219,220
243,243,243,243,243,243,243,243,243,243,243,243,243,244
