13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,5
8,12,12,12,12,12,12,0
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181
